Entity1,Gender of Entity1,Entity2,Relation,Entity1 Position,Entity2 Position,Sentence
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[49, 73]","[0, 9]","Princess Dorothea Maria Henriette Auguste Louise of Saxe-Coburg and Gotha [ 1 ] [ 2 ] ( 30 April 1881 – 21 January 1967 ) [ 1 ] [ 2 ] was a princess of Saxe-Coburg and Gotha ( German : Prinzessin von Sachsen-Coburg und Gotha ) by birth and the duchess of Schleswig-Holstein ( German : Herzogin zu Schleswig-Holstein ) [ 1 ] [ 2 ] through her marriage to Ernst Gunther , duke of Schleswig-Holstein ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[49, 73]","[0, 9]","Dorothea was born in Vienna , Austria , the second child and only daughter of Prince Philipp of Saxe-Coburg and Gotha and Princess Louise of Belgium ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[49, 73]","[0, 9]","[ 1 ] [ 2 ] Dorothea married Ernst Gunther , Duke of Schleswig-Holstein , fifth child and third-eldest son of Frederick VIII , Duke of Schleswig-Holstein and his wife Princess Adelheid of Hohenlohe-Langenburg , on 2 August 1898 in Coburg , Duchy of Saxe-Coburg and Gotha ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[49, 73]","[0, 9]","In 1920 , they adopted Princess Marie Luise ( 1908–1969 ) and Prince Johann Georg of Schleswig-Holstein-Sonderburg-Glücksburg ( 1911–1941 ) , son and daughter of Prince Albrecht of Schleswig-Holstein-Sonderburg-Glücksburg and his wife Countess Ortrud of Ysenburg und Büdingen ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[49, 73]","[0, 9]","Marie Luise and Johann Georg were grandchildren of Friedrich , Duke of Schleswig-Holstein-Sonderburg-Glücksburg , an older brother of Christian IX of Denmark.Princess Dorothea died at Schloss Taxis , Dischingen , Baden-Württemberg , Germany , aged 85 ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[93, 117]","[122, 130]","Princess Dorothea Maria Henriette Auguste Louise of Saxe-Coburg and Gotha [ 1 ] [ 2 ] ( 30 April 1881 – 21 January 1967 ) [ 1 ] [ 2 ] was a princess of Saxe-Coburg and Gotha ( German : Prinzessin von Sachsen-Coburg und Gotha ) by birth and the duchess of Schleswig-Holstein ( German : Herzogin zu Schleswig-Holstein ) [ 1 ] [ 2 ] through her marriage to Ernst Gunther , duke of Schleswig-Holstein ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[93, 117]","[122, 130]","Dorothea was born in Vienna , Austria , the second child and only daughter of Prince Philipp of Saxe-Coburg and Gotha and Princess Louise of Belgium ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[93, 117]","[122, 130]","[ 1 ] [ 2 ] Dorothea married Ernst Gunther , Duke of Schleswig-Holstein , fifth child and third-eldest son of Frederick VIII , Duke of Schleswig-Holstein and his wife Princess Adelheid of Hohenlohe-Langenburg , on 2 August 1898 in Coburg , Duchy of Saxe-Coburg and Gotha ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[93, 117]","[122, 130]","In 1920 , they adopted Princess Marie Luise ( 1908–1969 ) and Prince Johann Georg of Schleswig-Holstein-Sonderburg-Glücksburg ( 1911–1941 ) , son and daughter of Prince Albrecht of Schleswig-Holstein-Sonderburg-Glücksburg and his wife Countess Ortrud of Ysenburg und Büdingen ."
Princess Dorothea of Saxe-Coburg and Gotha,Female,Princess,hypernym,"[93, 117]","[122, 130]","Marie Luise and Johann Georg were grandchildren of Friedrich , Duke of Schleswig-Holstein-Sonderburg-Glücksburg , an older brother of Christian IX of Denmark.Princess Dorothea died at Schloss Taxis , Dischingen , Baden-Württemberg , Germany , aged 85 ."
