age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
47,admin.,married,secondary,no,-121,yes,yes,cellular,18,may,167,4,314,4,failure,no
40,management,married,secondary,no,754,no,yes,cellular,6,apr,635,1,-1,0,unknown,yes
48,services,married,primary,no,337,no,no,cellular,25,aug,770,12,-1,0,unknown,no
45,blue-collar,married,secondary,no,726,yes,no,cellular,31,jul,175,6,-1,0,unknown,no
49,blue-collar,married,primary,no,226,yes,no,unknown,19,jun,326,5,-1,0,unknown,no
60,retired,married,secondary,no,2722,no,no,cellular,12,aug,506,2,-1,0,unknown,yes
28,management,married,tertiary,no,250,yes,no,cellular,21,jul,475,4,-1,0,unknown,no
49,housemaid,married,secondary,no,3570,no,no,cellular,24,dec,62,3,202,2,failure,no
30,technician,married,secondary,no,27,yes,no,cellular,19,aug,163,2,-1,0,unknown,no
38,blue-collar,married,primary,no,2366,yes,no,unknown,26,may,97,4,-1,0,unknown,no
44,self-employed,married,tertiary,no,233,yes,yes,cellular,25,jul,161,7,-1,0,unknown,no
37,self-employed,married,tertiary,no,2084,yes,no,unknown,21,may,137,2,-1,0,unknown,no
57,technician,married,primary,no,592,no,yes,telephone,14,dec,88,6,193,5,other,no
38,technician,married,tertiary,no,432,yes,no,cellular,15,may,10,2,373,1,other,no
42,blue-collar,married,secondary,no,3,yes,no,telephone,20,nov,47,1,190,1,failure,no
31,blue-collar,married,secondary,no,326,no,yes,cellular,29,jan,124,1,-1,0,unknown,no
48,admin.,married,secondary,no,-509,no,yes,cellular,8,jul,302,3,-1,0,unknown,no
42,unemployed,married,secondary,no,4544,no,no,cellular,17,nov,77,2,-1,0,unknown,no
45,blue-collar,married,secondary,no,146,yes,yes,cellular,6,apr,294,1,305,15,failure,no
41,blue-collar,married,secondary,no,514,no,yes,telephone,15,jul,321,3,-1,0,unknown,no
43,blue-collar,married,primary,no,887,yes,no,unknown,14,may,211,1,-1,0,unknown,no
28,technician,married,secondary,no,-302,yes,no,cellular,13,may,152,4,366,3,failure,no
52,management,married,tertiary,no,6922,no,no,cellular,20,nov,371,1,-1,0,unknown,no
36,management,married,tertiary,no,1988,yes,yes,cellular,25,jul,102,2,-1,0,unknown,no
36,management,married,tertiary,no,-26,no,no,cellular,17,apr,214,2,-1,0,unknown,no
36,admin.,married,secondary,no,1031,no,no,cellular,17,jun,282,4,-1,0,unknown,yes
37,blue-collar,married,secondary,no,10721,yes,no,unknown,18,jun,394,3,-1,0,unknown,no
58,blue-collar,married,secondary,no,1298,yes,no,unknown,29,may,516,4,-1,0,unknown,no
27,technician,married,secondary,no,2735,yes,no,cellular,29,jan,205,1,-1,0,unknown,no
59,management,married,primary,no,8334,no,no,cellular,17,dec,141,4,182,2,other,no
30,technician,married,secondary,no,9,no,no,cellular,21,aug,129,2,-1,0,unknown,no
56,housemaid,married,primary,no,445,no,no,cellular,21,nov,13,6,-1,0,unknown,no
58,services,married,secondary,no,74,no,no,cellular,29,aug,105,2,-1,0,unknown,no
50,admin.,married,secondary,no,106,no,yes,cellular,7,aug,59,2,-1,0,unknown,no
31,housemaid,married,primary,no,979,no,yes,cellular,18,aug,298,10,-1,0,unknown,no
54,management,married,tertiary,no,3797,no,no,telephone,18,aug,253,2,-1,0,unknown,no
46,blue-collar,married,secondary,no,-396,no,yes,cellular,4,aug,115,1,-1,0,unknown,no
53,technician,married,tertiary,no,673,yes,no,cellular,9,jul,182,1,-1,0,unknown,no
37,admin.,married,secondary,no,11303,no,no,cellular,26,may,500,2,-1,0,unknown,no
45,management,married,tertiary,no,2671,no,no,cellular,14,aug,94,4,-1,0,unknown,yes
36,technician,married,secondary,no,318,no,no,cellular,30,jul,295,2,-1,0,unknown,no
59,management,married,tertiary,no,1783,no,yes,cellular,17,nov,540,2,-1,0,unknown,yes
53,self-employed,married,secondary,no,248,no,yes,cellular,17,nov,99,1,126,3,failure,no
40,blue-collar,married,secondary,no,-605,yes,yes,unknown,3,jun,143,1,-1,0,unknown,no
40,blue-collar,married,primary,no,117,yes,no,unknown,9,may,215,2,-1,0,unknown,no
38,technician,married,secondary,no,414,yes,no,cellular,5,may,147,1,-1,0,unknown,no
47,management,married,secondary,no,623,yes,no,cellular,13,may,102,6,-1,0,unknown,no
40,technician,married,tertiary,no,1063,yes,yes,cellular,19,aug,264,2,-1,0,unknown,no
30,blue-collar,married,secondary,no,360,yes,yes,unknown,2,jun,239,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,4,yes,yes,cellular,7,may,315,2,-1,0,unknown,no
35,management,married,tertiary,no,11,no,no,cellular,31,jul,22,19,-1,0,unknown,no
56,services,married,secondary,no,1150,no,yes,cellular,17,nov,107,1,117,3,failure,no
43,technician,married,tertiary,no,0,no,no,cellular,22,aug,78,2,-1,0,unknown,no
29,admin.,married,secondary,no,287,no,yes,cellular,11,jul,249,2,-1,0,unknown,no
54,retired,married,secondary,no,-488,no,yes,unknown,3,jul,172,2,-1,0,unknown,no
60,entrepreneur,married,primary,no,0,no,no,telephone,23,jul,40,1,-1,0,unknown,no
37,unemployed,married,secondary,no,459,no,no,cellular,20,nov,109,4,-1,0,unknown,no
45,services,married,secondary,no,0,no,yes,unknown,5,jun,370,2,-1,0,unknown,no
38,services,married,secondary,no,4017,no,no,cellular,4,aug,470,1,96,3,success,yes
51,blue-collar,married,unknown,no,1137,no,no,unknown,11,jun,76,1,-1,0,unknown,no
39,management,married,secondary,no,2981,no,no,cellular,26,mar,200,1,-1,0,unknown,yes
39,blue-collar,married,secondary,no,280,yes,no,unknown,2,jun,147,3,-1,0,unknown,no
51,blue-collar,married,primary,yes,-17,no,no,cellular,27,aug,134,6,-1,0,unknown,no
55,management,married,unknown,no,1504,yes,no,cellular,22,may,338,2,-1,0,unknown,yes
42,technician,married,secondary,no,440,yes,no,cellular,3,feb,13,5,-1,0,unknown,no
38,self-employed,married,tertiary,no,656,yes,no,cellular,22,aug,508,7,-1,0,unknown,no
36,blue-collar,married,primary,no,2730,yes,no,cellular,9,apr,105,1,323,1,failure,no
48,blue-collar,married,secondary,no,-404,yes,no,cellular,31,jul,130,3,-1,0,unknown,no
47,technician,married,secondary,no,1465,yes,no,cellular,20,nov,26,1,190,2,failure,no
57,entrepreneur,married,secondary,yes,-525,no,yes,cellular,25,jul,337,1,-1,0,unknown,no
36,blue-collar,married,secondary,no,0,no,no,cellular,15,jul,794,1,-1,0,unknown,no
50,blue-collar,married,primary,no,104,yes,no,cellular,17,apr,317,3,324,2,other,no
54,management,married,tertiary,no,588,no,no,cellular,13,aug,327,1,-1,0,unknown,no
29,blue-collar,married,secondary,no,940,yes,yes,cellular,15,may,382,1,-1,0,unknown,yes
40,admin.,married,secondary,no,-283,no,no,unknown,20,jun,253,2,-1,0,unknown,no
40,self-employed,married,tertiary,no,13669,no,no,cellular,15,oct,138,1,136,8,other,no
44,technician,married,tertiary,no,1818,yes,yes,cellular,30,apr,247,1,-1,0,unknown,no
41,management,married,secondary,no,0,no,no,cellular,31,jul,83,2,-1,0,unknown,no
51,services,married,secondary,no,2904,yes,no,cellular,17,jul,410,3,-1,0,unknown,no
39,blue-collar,married,secondary,no,138,no,no,unknown,9,jun,61,2,-1,0,unknown,no
47,entrepreneur,married,secondary,no,1375,yes,no,telephone,16,apr,272,2,321,7,failure,no
35,admin.,married,secondary,no,1098,yes,yes,unknown,2,jun,143,2,-1,0,unknown,no
34,management,married,tertiary,no,273,yes,no,cellular,20,nov,308,1,188,1,success,no
47,management,married,tertiary,no,4495,no,no,cellular,7,aug,156,8,-1,0,unknown,no
33,blue-collar,married,secondary,no,17,no,no,cellular,10,jul,489,1,-1,0,unknown,no
50,services,married,secondary,no,1595,no,no,unknown,9,jun,882,1,-1,0,unknown,yes
58,blue-collar,married,secondary,no,535,no,no,unknown,9,jun,189,4,-1,0,unknown,no
53,retired,married,tertiary,no,183,yes,no,unknown,15,may,73,1,-1,0,unknown,no
50,housemaid,married,secondary,no,1954,no,yes,cellular,28,jul,438,4,-1,0,unknown,no
35,blue-collar,married,secondary,no,153,yes,no,cellular,18,nov,645,2,-1,0,unknown,no
50,management,married,tertiary,no,400,yes,no,cellular,8,may,41,1,360,1,failure,no
46,admin.,married,secondary,no,2583,yes,no,cellular,10,jul,111,1,-1,0,unknown,no
58,blue-collar,married,secondary,no,1075,yes,no,cellular,18,may,42,1,-1,0,unknown,no
36,entrepreneur,married,secondary,no,0,yes,no,cellular,29,jan,344,3,-1,0,unknown,no
